id_family_datalake,question_name,time_first,time_last
4.19.9.2022.475828R_10uVUSaj7g2Lwdt,AverageHousing,0,2
3.02.2023.465385R_3MRHsyP3vB7E5vE,IncomeDesc,0,3
4.10.8.2022.633980R_2CfaN6rPg5IovXX,Eletricity,0,3
1.23.2.2022.459975R_3qed0n4JH05DWlY,FamilyRelations,1,3
1.22.3.2022.571660R_2U8XiC33cD4pI4Z,AverageSchooling,0,2
4.22.7.2022.297885R_117WofCp0urcrHb,AverageCitizenship,0,3
3.03.2023.295117R_2xyMNz4TqAPGpCH,DreamsKids,0,3
1.3.3.2022.381240R_1Lha6Y53x1SBn4I,AverageIGF,0,2
2.01.2023.224263R_2CvmWK5TwbSZU4X,Eletricity,0,3
1.23.2.2022.544620R_1CygPlkxZsIfmfN,AverageIGF,0,3
4.7.7.2022.604664R_3CZyBcK6dyHhFEL,AverageIGF,0,3
3.03.2023.472402R_2CwghnrTdbIBzwx,AverageFirstInfancy,0,3
1.22.3.2022.659071R_DOHaGOcPKNkyIjn,AverageIncome,0,3
1.22.3.2022.863042R_BGuuMp31ikG6Mw1,Eletricity,0,3
3.02.2023.35287R_33vuKy2ZSrp4817,Internet,0,3
2.1.4.2022.710778R_1hydlIGtuIaMaLC,SchoolLiteracy,0,3
3.03.2023.207735R_1CyBhNkXAiB3M0Z,CEP,0,2
2.4.2.2022.928114R_06SgJCaZj9qJ2W5,Eletricity,0,3
1.22.3.2022.456871R_2cu6ixidevKGuzp,AverageHousing,0,2
3.9.11.2021.221846R_2ydQirwj4oDzizp,Roof,0,2
1.23.3.2022.598289R_1DvRrBApqzAtgRo,Documents,0,3
4.3.11.2021.955339R_31QPTREL3S4R2ea,CategoriaHousing,0,3
1.15.10.2021.167179R_5p6FavLKITRoClj,Roof,1,3
4.1.8.2022.775272R_2DSNXepCHYTwdZd,Garbage,0,3
1.15.3.2022.147339R_1FEXOr2MtRmhic3,CategoriaCitizenship,0,3
1.22.3.2022.567049R_1d01JzLs5ja7sLt,Bathroom,0,2
1.3.3.2022.618879R_e9ccCkO0w3fX2ff,AverageIncome,0,2
4.6.7.2022.382007R_A1Ek1LbNEXCcK6R,AverageSchooling,0,3
1.22.3.2022.863042R_BGuuMp31ikG6Mw1,AverageIGF,0,3
2.02.2023.342505R_OwWM33RkfQN3Lax,Eletricity,0,3
1.22.3.2022.168682R_1jTm53Io24vFxr5,Documents,0,3
3.10.11.2021.683600R_2t9fZazJBLIHcXX,Floor,0,2
1.3.7.2021.317475R_331743,IncomeDesc,0,2
3.19.9.2022.687937R_1pG0Z0AEAn8CtqE,AverageSchooling,0,2
2.29.1.2022.165003R_2foKBk52izldvww,CategoriaHealth,1,3
4.15.9.2022.944801R_1hySDyMTqdrJk6T,AverageSchooling,0,3
1.22.3.2022.447988R_24jj2R0PJodbheB,Access,0,3
4.14.9.2022.151323R_2ScPHRF9RdbVdhM,Race,0,0
3.02.2023.35287R_33vuKy2ZSrp4817,Roof,0,3
4.20.7.2022.555020R_3mAiERWJEJarSkF,Walls,0,2
3.02.2023.80719R_28NcaYVo1H8qLPO,Sewer,0,3
2.27.1.2022.993844R_3RrLfb8d5cBQN3M,Garbage,0,3
4.31.3.2022.635387R_1C28vm4cdfWrQRT,CategoriaIGF,0,3
3.02.2023.129544R_3LZ24M5dcYh5waK,CategoriaHealth,0,2
4.7.7.2022.578758R_10UEo0IlYl0Yb82,CategoriaHealth,0,3
1.23.3.2022.608700R_2QSNrtxNXJ5D73t,Income,0,3
2.6.3.2022.358259R_2CdfSbAwcgPOXQA,Bathroom,1,3
1.22.3.2022.567049R_1d01JzLs5ja7sLt,SchoolLast,0,2
1.22.3.2022.958857R_2Sc6fjuv0wLxXFD,Eletricity,0,2
1.22.3.2022.863042R_BGuuMp31ikG6Mw1,Floor,0,3
4.7.7.2022.578758R_10UEo0IlYl0Yb82,Eletricity,0,3
4.6.7.2022.630052R_1cSn7xI4D3xI79U,CategoriaIGF,0,3
4.6.7.2022.430943R_egHEPUhvK1VRORr,SchoolCurrent,0,3
1.23.3.2022.413176R_1ML3eAhUpKv3Wom,SchoolCurrent,0,3
3.22.6.2022.811810R_2qren094UrMTNgn,Bathroom,0,2
2.3.2.2022.966592R_2qg8BQf1CJLtnEX,JobSatisfaction,0,3
1.23.3.2022.725909R_2veQn5NChyAJnXZ,AverageIGF,0,3
1.22.3.2022.862794R_AieVtk7jIMj1Tc5,CategoriaHousing,0,3
1.25.2.2022.446115R_1ih7QbcvrNFr92P,HousingProblems,0,3
4.21.7.2022.560857R_1hQEzpvD7NV7kin,AverageSchooling,0,3
4.19.9.2022.470621R_1dKbew4bz6WmNoi,AverageCitizenship,0,3
1.23.3.2022.631912R_2t04XxFNPtDBKgP,Floor,0,2
2.1.4.2022.172399R_1C3VyVRQvCAtnWs,AverageEnvironment,0,3
2.25.2.2022.537037R_1HcmD7WpJr3kw9d,CategoriaHousing,1,3
1.15.3.2022.262467R_3QPJxsWpCYM8crb,Income,0,2
4.6.7.2022.918612R_01J3AfbX1jX3Fg5,HousingProblems,0,3
1.23.3.2022.802331R_1E3S8pImTluJv2H,AverageCitizenship,1,3
1.22.3.2022.604245R_1IARVPbtr85WNa5,CEP,0,2
1.18.3.2022.394598R_1jybeogGg6QLYvg,CategoriaFirstInfancy,1,3
1.24.2.2022.221155R_3qx2HRqgb0a9bHu,CategoriaEnvironment,1,3
1.18.3.2022.634911R_2BrClThbCEIefVM,HowManyPHHH,0,0
2.3.2.2022.966592R_2qg8BQf1CJLtnEX,FoodManytimes,1,3
4.8.8.2022.256652R_2UgEJ9qdVYUBXgy,Gender,0,0
2.4.3.2022.828562R_1gNfFb7EM8yY7Ju,Garbage,0,3
1.18.3.2022.969138R_vqPKX4oWVX0W4lX,Eletricity,1,3
2.1.2.2022.407370R_10MlSGwP4D4B92B,WaterFrequency,0,2
2.12.2.2022.873802R_ue11F2Rx9YQYw5r,JobSatisfaction,0,3
